name,price,stock_quantity,category,image_url
Men's Braver-Rayland Slip-On Loafer,78.24,43,Men's Shoes,https://m.media-amazon.com/images/I/61jiwQ7b+vL._AC_UL320_.jpg
Steel Toe Sneakers for Men Women Lightweight Safety Shoes Comfortable Puncture Proof Slip On Indestructible Work Shoes,50.99,111,Men's Shoes,https://m.media-amazon.com/images/I/71qf+5A-IzL._AC_UL320_.jpg
Men's Neumel Boot,139.95,42,Men's Shoes,https://m.media-amazon.com/images/I/81AIb3gkW3L._AC_UL320_.jpg
"Large Fanny Pack for Women Men - Syican Waist bag with 4-Zipper Pockets, Gifts for Enjoy Sports Traveling Workout Casual Hands-Free crossbody bags Fits MAX 7.9'' iPad & 6.6'' Phone Black",8.49,43,Sports & Fitness,https://m.media-amazon.com/images/I/71+UeTr05kL._AC_UL320_.jpg
"ZOTAC Gaming GeForce RTX 4080 16GB AMP Extreme AIRO GDDR6X 256-bit 22.4 Gbps PCIE 4.0 Graphics Card, IceStorm 2.0 Advanced Cooling, Spectra 2.0 RGB Lighting, ZT-D40810B-10P",1125.89,5,Computer Components,https://m.media-amazon.com/images/I/81RTaCvV3yL._AC_UL320_.jpg
"PHOERA Foundation,Flawless Soft Matte Oil Control Liquid Foundation Full Coverage Face Makeup. (102# Nude)",9.99,97,Makeup,https://m.media-amazon.com/images/I/41-tQJO5qxL._AC_UL320_.jpg
"Logitech G502 X Wired Gaming Mouse - LIGHTFORCE hybrid optical-mechanical primary switches, HERO 25K gaming sensor, compatible with PC - macOS/Windows - Black",71.99,17,Video Games,https://m.media-amazon.com/images/I/61fjq9eujBL._AC_UY218_.jpg
Collagen Lip Plumper Clinically Proven Natural Lip Enhancer for Fuller Softer Lips Increased Elasticity Reduce Fine Lines Hydrating Plump Gloss Lipstick Primer by M3 Naturals,11.99,116,Makeup,https://m.media-amazon.com/images/I/51xYBrl29rL._AC_UL320_.jpg
VTech Drill and Learn Toolbox,24.99,57,Toys & Games,https://m.media-amazon.com/images/I/71p8G5z0YSL._AC_UL320_.jpg
"Tongue Scraper (2 Pack), Reduce Bad Breath (Medical Grade), Stainless Steel Tongue Cleaners, 100% Metal Tongue Scrapers Fresher Breath in Seconds",11.95,32,Beauty & Personal Care,https://m.media-amazon.com/images/I/8117l1akE4L._AC_UL320_.jpg
"Electric Toothbrush Hard Travel Case Compatible with Oral-B Pro 1000 8000, Philips Sonicare 1100 5100 6100, Carrying Bag Carrier for Battery Power Rechargeable Toothbrush (Case Only) –Black",12.99,16,Beauty & Personal Care,https://m.media-amazon.com/images/I/71ud-+VDUUL._AC_UL320_.jpg
"Utopia Bedding Full Bed Sheets Set - 4 Piece Bedding - Brushed Microfiber - Shrinkage and Fade Resistant - Easy Care (Full, White)",20.95,21,Bedding,https://m.media-amazon.com/images/I/61uIQP94p5L._AC_UL320_.jpg
"JOYIN Carrier Truck Toys for Kids, 12 Die-Cast Metal Toy Cars with 2 Launchers, Foldable Toy Car Track with Lights & Sounds for Boys, Racing Car for Kids Ages 3-5",25.99,66,Toys & Games,https://m.media-amazon.com/images/I/91hoeH5b+YL._AC_UL320_.jpg
"Aligner Chewies, Medical Grade Silicone Orthodontics Chewies for Invisalign Aligner Trays, Popsicle-shaped 4 Chewies (Peach)",8.99,29,Beauty & Personal Care,https://m.media-amazon.com/images/I/31Kzay4efEL._AC_UL320_.jpg
GLACIER FRESH XWF Replacement for GE XWF Refrigerator Water Filter Pack of 3,33.99,51,Home Appliances,https://m.media-amazon.com/images/I/61-mGmoQYGL._AC_UL320_.jpg
"WOPITUES Floating Shelves Wall Mounted, Wood Bathroom Shelves with Extra Storage Shelf, Rustic Wall Shelves for Bathroom, Bedroom, Kitchen, Living Room, Plants - Rustic Brown",17.99,114,Home Decor Products,https://m.media-amazon.com/images/I/71gEGlQBc1L._AC_UL320_.jpg
Intel Arc A750 Limited Edition 8GB PCI Express 4.0 Graphics Card,216.85,83,Computer Components,https://m.media-amazon.com/images/I/71xE1Rn+D1L._AC_UL320_.jpg
tarte maracuja juicy lip crème Peachy Pink,21.19,36,Makeup,https://m.media-amazon.com/images/I/51S+68SSG3L._AC_UL320_.jpg
Wireless Earbuds Bluetooth V5.3 Headphones 50H Playback Deep Bass Stereo Ear Buds with LED Power Display Charging Case IPX7 Waterproof Earphones with Mic Headset for Laptop Pad Android/iOS Phones,25.99,20,Headphones & Earbuds,https://m.media-amazon.com/images/I/61-18UB3WWL._AC_UL320_.jpg
"joybest Welcome Door Mat with Heavy Duty Backing, Coco Coir Front Door Mats for Indoor and Outdoor Doormats, Front Porch Entrance, Home Entryway Farmhouse Decor, 17 x 30 inch",19.99,105,Furniture,https://m.media-amazon.com/images/I/81-HpjD4ALL._AC_UL320_.jpg
Nintendo Switch – OLED Model w/ White Joy-Con,339.00,121,Video Games,https://m.media-amazon.com/images/I/61LRAVRqyCL._AC_UY218_.jpg
"GUM Professional Clean Flossers Fresh Mint - 90 ct, Pack of 5",24.99,55,Beauty & Personal Care,https://m.media-amazon.com/images/I/61I08za-VWL._AC_UL320_.jpg
"Universal for Samsung-TV-Remote, BN59-01315J Remote Replacement for All Samsung LCD LED HDTV 3D Smart TVs",6.95,122,Home Audio & Theater Products,https://m.media-amazon.com/images/I/61NUiAOkiYL._AC_UL320_.jpg
"everydrop by Whirlpool Ice and Water Refrigerator Filter 2, EDR2RXD1, Single-Pack",53.99,117,Home Appliances,https://m.media-amazon.com/images/I/41BBhKG-jUL._AC_UL320_.jpg
SABRENT NVMe M.2 SSD to PCIe X16/X8/X4 Card with Aluminum Heat Sink (EC-PCIE),14.99,70,Computer Components,https://m.media-amazon.com/images/I/71zEOf6TTPL._AC_UL320_.jpg
"ZIUTY Wireless Earbuds, Bluetooth 5.3 Headphones 50H Playtime with LED Digital Display Charging Case, IPX5 Sweatproof Cordless Earphones with Microphone for iPhone Android Phone Laptop Sports (Black)",18.99,119,Headphones & Earbuds,https://m.media-amazon.com/images/I/61CXp9DFaDL._AC_UL320_.jpg
"AmScope 120X-1200X 52-pcs Kids Beginner Microscope STEM Kit with Metal Body Microscope, Plastic Slides, LED Light and Carrying Box (M30-ABS-KT2-W),White",41.99,42,Learning & Education Toys,https://m.media-amazon.com/images/I/81BJWmbpObL._AC_UL320_.jpg
"Tablet 2 in 1 Tablet with Keyboard Case Mouse Stylus Touch Screen Protector Film, 10 inch Tablet Android 11.0 Tablets PC, 10.1"" HD Tab 6000mah Battery 32GB+512GB Expandable Tableta Computer Pink Tab.",69.99,66,Computers & Tablets,https://m.media-amazon.com/images/I/612ZefIN7IL._AC_UL320_.jpg
"Performance Lightweight Crew Training Socks (3 Pair) (Medium, White/Black)",17.90,73,Men's Clothing,https://m.media-amazon.com/images/I/71XHPuLiHVL._AC_UL320_.jpg
"mDesign Plastic Slim Oval 2 Gallon Trash Can Wastebasket Garbage Bin - Decorative Themed Basket for Bathroom, Bedroom, Office - Hold Trash, Waste, Recycling - Pebbles Collection - Blue",25.99,70,Furniture,https://m.media-amazon.com/images/I/71+SVRp1KxL._AC_UL320_.jpg
"PURA D'OR Organic Coffee Bean Oil (4oz / 118mL) 100% Pure USDA Certified Premium Grade Natural Moisturizer, Cold Pressed, Unrefined, Hexane-Free Base Carrier Oil for DIY Skin Care For Men & Women",19.99,81,Skin Care Products,https://m.media-amazon.com/images/I/71QDM5gVXZL._AC_UL320_.jpg
Crossbody bags for Women Crossbody Purse Shoulder Bag,19.99,101,Women's Handbags,https://m.media-amazon.com/images/I/61NScFNar+L._AC_UL320_.jpg
"CAMBIVO 2 Pack Knee Braces for Knee Pain, Knee Compression Sleeve for Men and Women, Knee Support for Meniscus Tear, Running, Weightlifting, Workout, ACL, Arthritis, Joint Pain Relief (Black,Medium)",14.99,50,Sports & Fitness,https://m.media-amazon.com/images/I/815rMekwNgL._AC_UL320_.jpg
GIGABYTE B760M DS3H AX (LGA 1700/ Intel/ B760/ M-ATX/ DDR5/ 2* M.2/ PCIe 4.0/ USB 3.2 Gen 2 Type-C/WiFi 6E/ 2.5GbE LAN/Q-Flash Plus/PCIe EZ-Latch/Motherboard),119.49,120,Computer Components,https://m.media-amazon.com/images/I/819loXNzHQL._AC_UL320_.jpg
6 Pairs Chunky Gold Hoop Earrings Set for Women 14K Gold Plated Hypoallergenic Thick Open Huggie Hoop Set Jewelry for Gifts,16.97,92,Women's Jewelry,https://m.media-amazon.com/images/I/71F+V0k5hjL._AC_UL320_.jpg
Yongnuo YN-560 IV Flash Speedlite for Canon Nikon Pentax Olympus DSLR Cameras with EACHSHOT Diffuser,85.00,51,Camera & Photo,https://m.media-amazon.com/images/I/71tvqb3FCoL._AC_UL320_.jpg
"Denon AVR-X3800H 9.4-Ch Receiver (2022 Model) - 8K UHD Home Theater AVR (105W X 9) Built-in Bluetooth, Wi-Fi & HEOS Multi-Room Streaming, Dolby Atmos, DTS:X, IMAX Enhanced & Auro 3D",1382.00,75,Home Audio & Theater Products,https://m.media-amazon.com/images/I/61wrPDL7mFL._AC_UL320_.jpg
Magnetic Wireless Charger Fast Apple Mag-Safe Charger for iPhone 15 Pro Max/15 Pro/15/15 Plus/14/13/12 Series AirPods 3/2/Pro/Pro 2 LED Magnet Charging Pad Mag Safe Charger with Dual Charging Ports,16.99,100,Cell Phones & Accessories,https://m.media-amazon.com/images/I/51ZTUXXpT1L._AC_UL320_.jpg
Xbox Series X,489.99,97,Video Games,https://m.media-amazon.com/images/I/51ojzJk77qL._AC_UY218_.jpg
TAGRY Bluetooth Headphones True Wireless Earbuds 60H Playback LED Power Display Earphones with Wireless Charging Case IPX5 Waterproof in-Ear Earbuds with Mic for TV Smart Phone Computer Laptop Sports,34.99,95,Headphones & Earbuds,https://m.media-amazon.com/images/I/61zJ3-tanCL._AC_UL320_.jpg
"Cuisinart 14-Cup Replacement Carafe for Coffee Maker, DCC-2200RC",34.95,121,Home Appliances,https://m.media-amazon.com/images/I/71b-PPeGoyL._AC_UL320_.jpg
"【Upgraded】Heating Element for Samsung Dryer, Dryer Heating Element DC47-00019A for Samsung dv42h5000ew/a3 dv45h7000ew/a2 Dryer Parts, Including DC96-00887A, DC47-00016A, DC47-00018A and DC32-00007A",35.99,26,Home Appliances,https://m.media-amazon.com/images/I/71IbwgzaKbL._AC_UL320_.jpg
"Mens Running Headband,5Pack,Mens Sweatband Sports Headband for Running,Cycling,Basketball,Yoga,Fitness Workout Stretchy Unisex Hairband",11.99,106,Sports & Fitness,https://m.media-amazon.com/images/I/71brU3KoOHL._AC_UL320_.jpg
"Elisa Pendant Necklace for Women, Fashion Jewelry, 14k Gold-Plated",55.00,74,Women's Jewelry,https://m.media-amazon.com/images/I/51dSKjL6BxL._AC_UL320_.jpg
"Best Choice Products 36in Framed Round Wall Mirror for Bathroom Vanity, Bedroom, Bathroom, Living Room, Home Décor w/High Clarity Reflection, Anti-Blast Film - Matte Black",109.99,132,Home Decor Products,https://m.media-amazon.com/images/I/81Csq9JDxIL._AC_UL320_.jpg
"Nikwax Tech Wash , Green ,10 fl. oz.",10.95,9,Outdoor Recreation,https://m.media-amazon.com/images/I/818icvm1uKL._AC_UL320_.jpg
"Lumbar Support Pillow for Office Chair Back Support Pillow for Car, Computer, Gaming Chair, Recliner Memory Foam Back Cushion for Back Pain Relief Improve Posture, Mesh Cover Double Adjustable Straps",29.99,21,Bedding,https://m.media-amazon.com/images/I/81XnvQ4knhL._AC_UL320_.jpg
"Logitech G305 LIGHTSPEED Wireless Gaming Mouse, Hero 12K Sensor, 12,000 DPI, Lightweight, 6 Programmable Buttons, 250h Battery Life, On-Board Memory, PC/Mac - Black",34.99,44,Video Games,https://m.media-amazon.com/images/I/51VpABY-b6L._AC_UY218_.jpg
Women's Suede Clogs Leather Mules Cork Footbed Sandals Potato Shoes with Arch Support,36.99,40,Women's Shoes,https://m.media-amazon.com/images/I/810zAULuvKL._AC_UL320_.jpg
"Cooler Shock Reusable Ice Packs for Cooler - Long-Lasting Cold Freezer Packs for Coolers & Lunch Bags - Cooler Ice Packs for Lunch Box, School, Beach, Fishing, Camping Gear",32.99,92,Outdoor Recreation,https://m.media-amazon.com/images/I/81Kp86pfsrL._AC_UL320_.jpg
"Magnetic Tiles Kids Toys STEM Magnet Toys for Toddler Magnetic Blocks Building Toys Preschool Learning Sensory Montessori Toys for 3+ Year Old Boys and Girls, Safe Creativity Toddler Kids Toys",19.99,19,Toys & Games,https://m.media-amazon.com/images/I/81HEynVTL3L._AC_UL320_.jpg
"Intel NUC 11 Panther Canyon Mini PC, 11th Intel Core i5-1135G7, 16GB RAM & 512GB SSD, Windows 11 Pro, Support 4K Quad Display, WiFi 6, VESA/Home/Business Mini Desktop Computer(NUC11PAHi5)",443.99,108,Computers & Tablets,https://m.media-amazon.com/images/I/61ZCM3Ss6lL._AC_UL320_.jpg
"Amazon Basics 2-Pack HDMI Cable, 18Gbps High-Speed, 4K@60Hz, 2160p, Ethernet Ready, 3 Foot, Black",12.66,133,Home Audio & Theater Products,https://m.media-amazon.com/images/I/61yxyQLcW7L._AC_UL320_.jpg
Men's AL0A7R6F Torin 6 - Wide Road Running Shoe,65.91,26,Men's Shoes,https://m.media-amazon.com/images/I/71K9WTBIicL._AC_UL320_.jpg
"Evolive Ultra Soft Microfiber Body Pillow Cover/Pillowcases 21""x54"" with Hidden Zipper Closure (21""x54"" Body Pillow Cover, Charcoal Grey)",8.99,57,Bedding,https://m.media-amazon.com/images/I/718QRyds5OL._AC_UL320_.jpg
"Copper Compression Arthritis Gloves | Fingerless Arthritis Carpal Tunnel Pain Relief Gloves For Men & Women | Hand Support Wrist Brace For Rheumatoid, Tendonitis, Swelling, Crocheting, Typing (L)",29.95,123,Outdoor Recreation,https://m.media-amazon.com/images/I/518gmRI5AXL._AC_UL320_.jpg
"Lash Clusters Kit, DIY Eyelash Extensions Kit, Lash Clusters 108pcs, Super Hold Lash Bond and Seal, Cluster Lashes Extensions 8-16mm DIY Individual Lashes Kit Wispy Natural Eyelash Extensions C D Curl False Eyelashes Fluffy Strips Eye Lashes by Newcally",9.99,88,Makeup,https://m.media-amazon.com/images/I/91V6SylzYML._AC_UL320_.jpg
"Sleeping Pad Ultralight Inflatable Sleeping Pad for Camping, 75''X25'', Built-in Pump, Ultimate for Camping, Hiking - Airpad, Carry Bag, Repair Kit - Compact & Lightweight Air Mattress(Green)",27.98,30,Outdoor Recreation,https://m.media-amazon.com/images/I/71oF-A5oeaL._AC_UL320_.jpg
"ASUS TUF Gaming GeForce RTX™ 4090 OG OC Edition Gaming Graphics Card (PCIe 4.0, 24GB GDDR6X, DLSS 3, HDMI 2.1, DisplayPort 1.4a)",1799.99,83,Computer Components,https://m.media-amazon.com/images/I/81-Q4kEcj5L._AC_UL320_.jpg
"Late 2021 Apple MacBook Pro with Apple M1 Pro chip (16 inch, 16GB RAM, 1TB SSD) (QWERTY English) Space Gray (Renewed)",1529.89,27,Computers & Tablets,https://m.media-amazon.com/images/I/61SP1frHPxL._AC_UL320_.jpg
"SAMSUNG Galaxy Tab A7 Lite 8.7"" 32GB WiFi Android Tablet, Compact, Slim Design, Kid Friendly, Sturdy Metal Frame, Long Lasting Battery, US Version, 2021, Gray",119.99,150,Computers & Tablets,https://m.media-amazon.com/images/I/819hAP4xoGS._AC_UL320_.jpg
iENVY by KISS Ultra Black Knot Free Individual Lashes 4 Tray 280 Lashes (Medium),9.99,3,Makeup,https://m.media-amazon.com/images/I/71eFDBJC3TL._AC_UL320_.jpg
SUNBEAUTY Pack of 12 Hanging Honeycomb Paper Fans Hot Pink Party Decoration Fuchsia Pink Paper Decoration for Birthday Wedding Graduation Events Accessories,14.99,48,Home Decor Products,https://m.media-amazon.com/images/I/611FN5a+K7L._AC_UL320_.jpg
"36 Pairs Gold Hoop Earrings Set for Women Girls Multipack, Hypoallergenic Chunky Chain Twisted Hoop Earrings Pack, Fashion Dangle Earrings Jewelry for Gift",13.58,48,Women's Jewelry,https://m.media-amazon.com/images/I/81axr6Zh5AL._AC_UL320_.jpg
"3/16"" inch Orthodontic Elastic Rubber Bands 3 x 100 packs Neon medium force 4.5 oz, Rubberbands for making bows, Dreadlocks, Dreads, Doll Hair, Braids, Horse Mane Tail, FREE elastic placer by AdentalZ",9.99,37,Beauty & Personal Care,https://m.media-amazon.com/images/I/51G259dxmsL._AC_UL320_.jpg
"EarFun Air Pro 3 Noise Cancelling Wireless Earbuds, Qualcomm® aptX™ Adaptive Sound, 6 Mics CVC 8.0 ENC, Bluetooth 5.3 Earbuds, Multipoint Connection, 45H Playtime, App Customize EQ, Wireless Charging",55.99,148,Cell Phones & Accessories,https://m.media-amazon.com/images/I/61dDIKxp6sL._AC_UL320_.jpg
"Amazon Basics 2 RCA Audio Cable for Stereo Speaker or Subwoofer with Gold-Plated Plugs, 8 Foot, Black",11.87,53,Home Audio & Theater Products,https://m.media-amazon.com/images/I/71t5rxluXvL._AC_UL320_.jpg
Oakleys LEGACY FOOTBALL SHIELD,41.95,53,Men's Clothing,https://m.media-amazon.com/images/I/61JdaNl7ntL._AC_UL320_.jpg
"Awescuti Round Boho Wood Coffee Table - 31.5"" Farmhouse Natural Circle Wooden 2-Tier Coffee Tables Living Room Furniture, Natural Wood Color, 31.5"" D x 18.3"" H",269.99,135,Furniture,https://m.media-amazon.com/images/I/71cJLTF7gqL._AC_UL320_.jpg
Everyday Cushion Crew Socks,25.00,58,Men's Clothing,https://m.media-amazon.com/images/I/61Z9+l2VotL._AC_UL320_.jpg
"iHaHa Fire Truck Toys for 1 2 3 4 5 6 Years Old Boys Toddler, 5 in 1 Kids Carrier Toy Birthday, Car Friction Power Toys with Light Sound",26.99,83,Toys & Games,https://m.media-amazon.com/images/I/81nq8H2IlyL._AC_UL320_.jpg
"Celestial Seasonings Herbal Tea, Bengal Spice 20 Count (Pack of 2)",9.35,150,Kitchen & Dining,https://m.media-amazon.com/images/I/818lwt4i15L._AC_UL320_.jpg
Nipple Cover - Sticky Adhesive Silicone Nipple Pasties - Reusable Pasty Nipple Covers for Women with Travel Box,26.50,147,Women's Clothing,https://m.media-amazon.com/images/I/51S9vy6ywpL._AC_UL320_.jpg
Women's Classic Ultra Mini Platform Fashion Boot,159.95,105,Women's Shoes,https://m.media-amazon.com/images/I/61MYjpwlDhL._AC_UL320_.jpg
Women Slip On Canvas Sneakers Low Top Casual Shoes Supportive Comfortable Tennis Sneakers,30.98,15,Women's Shoes,https://m.media-amazon.com/images/I/71QZwZlRgDL._AC_UL320_.jpg
"Serta Executive Office Padded Arms, Adjustable Ergonomic Gaming Desk Chair with Lumbar Support, Faux Leather and Mesh, Black",198.35,54,Furniture,https://m.media-amazon.com/images/I/719AYgA4XpL._AC_UL320_.jpg
Manfrotto 035RL Super Clamp with 2908 Standard Stud - Replaces 2900 - Black,40.79,42,Camera & Photo,https://m.media-amazon.com/images/I/71xxeZZK32L._AC_UL320_.jpg
"AQG Counter Stool,26"" 360 Free Swivel Upholstered Bar Stool with Back Counter Height Swivel Barstools. (Green Fabric)",269.99,124,Furniture,https://m.media-amazon.com/images/I/7179wOoUHPL._AC_UL320_.jpg
"Elviros Cervical Memory Foam Contour Pillows for Neck and Shoulder Pain, Ergonomic Orthopedic Sleeping Support Pillow for Side Sleepers, Back and Stomach Sleepers (Dark Grey)",49.99,141,Bedding,https://m.media-amazon.com/images/I/812DU2rCdkL._AC_UL320_.jpg
"FEATOL Wrist Brace for Carpal Tunnel, Adjustable Wrist Support Brace with Splints Left Hand, Medium/Large, Arm Compression Hand Support for Injuries, Wrist Pain, Sprain, Sport",18.99,61,Outdoor Recreation,https://m.media-amazon.com/images/I/91ThxTB3zLL._AC_UL320_.jpg
Vortex Optics Viper HD Spotting Scopes,899.00,119,Camera & Photo,https://m.media-amazon.com/images/I/71hUnG97DAL._AC_UL320_.jpg
"Physicians Formula Rosé All Day Serum| Helps to Brighten and Clear Skin, Even Tone and Prevent Wrinkles | Dermatologist Tested, Clinicially Tested",12.98,64,Skin Care Products,https://m.media-amazon.com/images/I/61Ld8GGUrML._AC_UL320_.jpg
"Corsair iCUE H150i Elite LCD XT Liquid CPU Cooler - IPS LCD Screen - Three AF120 RGB Elite Fans - 360mm Radiator - Fits Intel® LGA 1700, AMD® AM5, and More - Included iCUE Commander CORE - Black",249.99,83,Computer Components,https://m.media-amazon.com/images/I/71EN9Vc-qsL._AC_UL320_.jpg
"Gold Bracelets for Women, 14K Dainty Gold Plated Stackable Bracelets for Women Trendy Gold Bracelet Stack Set Waterproof Chain Bracelets Paperclip Adjustable Tennis Minimalist Tiny Cute Jewelry",12.89,12,Women's Jewelry,https://m.media-amazon.com/images/I/51Z2XHbAVAL._AC_UL320_.jpg
Womens Winter Boots Warm: Womens Waterproof Snow Boots Ankle Casual Cold Weather Fur Lined Comfortable Booties,28.77,124,Women's Shoes,https://m.media-amazon.com/images/I/61-dU-saLHL._AC_UL320_.jpg
"PureFit Super Stretch Sofa Slipcover – Spandex Non Slip Soft Couch Sofa Cover, Washable Furniture Protector with Non Skid Foam and Elastic Bottom for Kids, Pets （Sofa, Black）",37.99,42,Home Decor Products,https://m.media-amazon.com/images/I/51lf9avrDpL._AC_UL320_.jpg
Growsun Electric Air Balloon Pump 110V 600W Balloon Blower Inflator for Garland Arch Party Decoration,18.99,148,Sports & Fitness,https://m.media-amazon.com/images/I/61+5gfUYwpL._AC_UL320_.jpg
"Shoulder Bags for Women, Cute Hobo Tote Handbag Mini Clutch Purse with Zipper Closure",16.98,122,Women's Handbags,https://m.media-amazon.com/images/I/61vk-1qOOUL._AC_UL320_.jpg
All in One Makeup Kit for Makeup storage bag 2X14 Colors Eyeshadow Palette Liquid Foundation Eyeliner Pencils Contouring Stick Lip Gloss Eyebrow Pencils 20Pcs Makeup Brushes etc For Women Girls Teens (Black),28.98,12,Makeup,https://m.media-amazon.com/images/I/81o6HMx3gKL._AC_UL320_.jpg
"Qimh Colander collapsible, Colander Strainer Over The Sink Vegetable/Fruit Colanders Strainers (6 Quart) with Extendable Handles, New Kitchen Essentials",14.99,51,Kitchen & Dining,https://m.media-amazon.com/images/I/61+Bx8RR+OL._AC_UL320_.jpg
"NZXT H9 Elite Dual-Chamber ATX Mid-Tower PC Gaming Case – Includes 3 x 120mm F120 RGB Duo Fans with Controller– Glass Front, Top & Side Panels – 360mm Radiator Support – Cable Management – White",224.99,120,Computer Components,https://m.media-amazon.com/images/I/61Yr06ThzYL._AC_UL320_.jpg
"JOBY Suction Cup with GorillaPod Arm for GoPro HERO6 Black, GoPro HERO5 Black, GoPro HERO5 Session, Contour and Sony Action Cam",16.98,111,Camera & Photo,https://m.media-amazon.com/images/I/61wAIByCtHL._AC_UL320_.jpg
"VTech Marble Rush Ultimate Set, Multicolor",40.99,107,Learning & Education Toys,https://m.media-amazon.com/images/I/71g5H962XzL._AC_UL320_.jpg
Crossbody,69.00,15,Women's Handbags,https://m.media-amazon.com/images/I/71WkpiQE-4L._AC_UL320_.jpg
"The Original Gorilla Grip Ironing Board Cover, Silicone Coating, Full Size Scorch Resistant Padding, Elastic Edge, Heavy Duty Iron Pad Covers Standard Boards, Hook and Loop Fastener Strap, Silver",25.99,116,Home Appliances,https://m.media-amazon.com/images/I/51nfUozR1xL._AC_UL320_.jpg
"Disposable Toothbrushes with Toothpaste Pack of 30,Black Individually Wrapped Disposable Travel Toothbrush Kit in Bulk for Homeless,Nursing Home,Shelter,Hotel,Charity",17.99,42,Beauty & Personal Care,https://m.media-amazon.com/images/I/61sTBPfCs6L._AC_UL320_.jpg
"Timers, Digital Kitchen Timer Magnetic with Large LED Display, LIORQUE Countdown Countup Timer for Cooking Classroom Fitness, Volume Adjustable, Easy for Kids and Seniors(Aluminium Alloy Knob) Black",16.99,32,Kitchen & Dining,https://m.media-amazon.com/images/I/61mCWGQdZyS._AC_UL320_.jpg
"iHaHa Toy Trucks Car for 1 2 3 4 5 Year Old Toddlers Boys, 5 in 1 Carrier Truck Car Construction Vehicles Toys for Kids Boys Girls Toddlers Christmas Birthday Gifts, Car Trucks Toys with Light Sound",26.99,105,Toys & Games,https://m.media-amazon.com/images/I/71ttuVTXTyL._AC_UL320_.jpg
"GE RPWFE Refrigerator Water Filter | Certified to Reduce Lead, Sulfur, and 50+ Other Impurities | Replace Every 6 Months for Best Results | Pack of 2",104.72,74,Home Appliances,https://m.media-amazon.com/images/I/71RTN-j2mlL._AC_UL320_.jpg
"Eyelash Applicator Tool 35mm Width Lash Applicator Clip, 1PCS Eyelash Tweezers for False Lashes, Pink",3.99,41,Makeup,https://m.media-amazon.com/images/I/61CpjfCslQL._AC_UL320_.jpg
Shoe Glue: Instant Professional Grade Shoe Repair Glue,13.99,108,Outdoor Recreation,https://m.media-amazon.com/images/I/61CfH6Cjy0L._AC_UL320_.jpg
Intel Core i9-13900K (Latest Gen) Gaming Desktop Processor 24 cores (8 P-cores + 16 E-cores) with Integrated Graphics - Unlocked,551.99,23,Computer Components,https://m.media-amazon.com/images/I/61My4F2-XUL._AC_UL320_.jpg
Lash Clusters 320pcs D Curl Mixed Tray 30D + 40D Mix9-16mm Lash Extension Clusters Hybrid DIY Custom Eyelash Styling More fluffy and natural(30/40D D Mix9-16),13.49,144,Makeup,https://m.media-amazon.com/images/I/71q+TN+UkfL._AC_UL320_.jpg
"NEW Upgraded W10515058 LED Light Compatible with whirlpool/kenmore/maytag,Refrigerator Freezer Main LED Light,Replaces WPW10515058,W10522611,W10465957, AP6022534,PS11755867,3021142,2 Year Warranty",44.99,140,Home Appliances,https://m.media-amazon.com/images/I/61GFK9173uL._AC_UL320_.jpg
